"year","quarter","area_fips","area_title","quarterly_establishments","month_3_employment","month_3_employment_percent_change_oty","average_weekly_wages","average_weekly_wages_percent_change_oty"
"2003","2","48000","Texas","498500","9250400","-0.7","686","1.6"
"2003","2","49000","Utah","71500","1047900","-0.1","588","1.9"
"2003","2","50000","Vermont","24000","297800","-0.9","609","3.2"
"2003","2","51000","Virginia","200200","3453200","-0.1","719","2.7"
"2003","2","53000","Washington","233200","2701100","0.6","747","2.9"
"2003","2","54000","West Virginia","46900","685700","-0.6","573","3.1"
"2003","2","55000","Wisconsin","155000","2741300","-0.3","628","2.3"
"2003","2","56000","Wyoming","21900","252700","0.9","563","2.9"
"2003","2","72000","Puerto Rico","43600","977000","-1.1","400","5.0"
"2003","2","78000","Virgin Islands","3200","41500","-3.7","602","2.0"
"2003","3","US000","United States","8291000","128546300","-0.4","704","3.1"
"2003","3","01000","Alabama","111600","1825300","-0.6","607","3.1"
"2003","3","02000","Alaska","19700","308400","1.5","730","3.1"
"2003","3","04000","Arizona","125900","2269000","1.3","659","3.5"
"2003","3","05000","Arkansas","75000","1130500","-0.3","541","2.9"
"2003","3","06000","California","1166800","14923900","-0.3","797","3.9"
"2003","3","08000","Colorado","161100","2124400","-1.6","744","4.5"
"2003","3","09000","Connecticut","108900","1627400","-1.4","869","3.1"
"2003","3","10000","Delaware","26800","406100","-0.3","753","3.9"
"2003","3","11000","District of Columbia","29700","650100","-0.4","1123","5.6"
"2003","3","12000","Florida","499300","7234300","1.5","627","3.6"
"2003","3","13000","Georgia","245600","3811100","-0.2","684","2.5"
"2003","3","15000","Hawaii","37200","567300","1.3","648","3.5"
"2003","3","16000","Idaho","48200","590400","0.5","547","2.1"
"2003","3","17000","Illinois","324800","5738700","-1.2","751","2.6"
"2003","3","18000","Indiana","151500","2848100","-0.7","627","2.1"
"2003","3","19000","Iowa","90100","1414400","-0.4","580","3.4"
"2003","3","20000","Kansas","82600","1287900","-1.5","594","2.6"
"2003","3","21000","Kentucky","105600","1727700","0.1","594","3.1"
"2003","3","22000","Louisiana","117100","1853400","0.1","579","2.8"
"2003","3","23000","Maine","47000","603700","0.2","577","2.9"
"2003","3","24000","Maryland","149200","2448600","0.4","763","4.1"
"2003","3","25000","Massachusetts","205200","3163900","-1.8","860","3.6"
"2003","3","26000","Michigan","251600","4349200","-2.0","730","2.4"
"2003","3","27000","Minnesota","158300","2597800","-0.7","730","4.3"
"2003","3","28000","Mississippi","65500","1102500","-0.9","521","3.6"
"2003","3","29000","Missouri","165900","2633800","-0.6","636","2.6"
"2003","3","30000","Montana","42300","401900","0.9","507","3.5"
"2003","3","31000","Nebraska","55000","876800","0.0","580","3.0"
"2003","3","32000","Nevada","58700","1096900","3.7","675","4.5"
"2003","3","33000","New Hampshire","46600","612100","0.3","689","2.8"
"2003","3","34000","New Jersey","262900","3883200","0.3","852","3.5"
"2003","3","35000","New Mexico","50200","754600","0.9","565","2.7"
"2003","3","36000","New York","548900","8224300","-0.7","846","2.9"
"2003","3","37000","North Carolina","226000","3743500","-0.8","629","2.6"
"2003","3","38000","North Dakota","23800","320600","1.1","527","4.8"
"2003","3","39000","Ohio","293600","5310600","-1.1","658","1.7"
"2003","3","40000","Oklahoma","91300","1410900","-2.3","560","3.9"
"2003","3","41000","Oregon","117900","1588500","-0.9","653","3.2"
"2003","3","42000","Pennsylvania","326500","5495600","-0.7","692","3.1"
"2003","3","44000","Rhode Island","34600","481900","1.2","677","3.7"
"2003","3","45000","South Carolina","124700","1773400","-0.2","580","2.5"
"2003","3","46000","South Dakota","27900","368100","0.2","512","2.2"
"2003","3","47000","Tennessee","128100","2617600","-0.1","631","3.8"
"2003","3","48000","Texas","500500","9222700","-0.7","693","2.2"
"2003","3","49000","Utah","72500","1048600","0.2","588","2.3"
"2003","3","50000","Vermont","24000","297800","0.1","598","2.7"
"2003","3","51000","Virginia","201000","3429900","0.3","724","3.6"
"2003","3","53000","Washington","238200","2705800","0.4","753","3.7"
"2003","3","54000","West Virginia","47000","683300","-0.8","533","2.3"
"2003","3","55000","Wisconsin","156400","2710000","-0.3","624","3.1"
"2003","3","56000","Wyoming","22000","249900","1.4","562","3.5"
"2003","3","72000","Puerto Rico","43500","971000","-1.1","410","5.1"
"2003","3","78000","Virgin Islands","3200","41200","-1.6","563","-0.5"
"2003","4","US000","United States","8314100","129341500","0.0","767","3.6"
"2003","4","01000","Alabama","111800","1838100","-0.1","657","4.0"
"2003","4","02000","Alaska","20000","282700","1.1","746","1.1"
"2003","4","04000","Arizona","126900","2352100","2.2","710","3.8"
"2003","4","05000","Arkansas","75200","1133600","0.5","587","4.1"
"2003","4","06000","California","1190800","14922300","0.0","869","3.8"
"2003","4","08000","Colorado","160000","2134600","-1.1","784","2.0"
"2003","4","09000","Connecticut","109100","1648900","-0.7","992","3.8"
"2003","4","10000","Delaware","27100","408400","0.5","825","5.0"
"2003","4","11000","District of Columbia","30000","654800","-0.4","1238","3.9"
"2003","4","12000","Florida","504100","7424500","0.8","685","3.8"
"2003","4","13000","Georgia","245600","3845600","0.2","734","2.8"
"2003","4","15000","Hawaii","37400","583000","1.3","678","3.7"
"2003","4","16000","Idaho","48500","577500","0.6","579","1.8"
"2003","4","17000","Illinois","325700","5738700","-1.2","827","3.2"
"2003","4","18000","Indiana","152100","2852200","-0.3","675","3.5"
"2003","4","19000","Iowa","90600","1418500","0.0","626","4.7"
"2003","4","20000","Kansas","82200","1298300","-0.9","631","2.8"
"2003","4","21000","Kentucky","105700","1740600","0.3","645","3.5"
"2003","4","22000","Louisiana","114000","1870900","0.5","628","2.4"
"2003","4","23000","Maine","47400","595800","0.7","631","4.6"
"2003","4","24000","Maryland","150400","2466400","0.7","831","3.6"
"2003","4","25000","Massachusetts","206600","3154600","-1.9","954","5.2"
"2003","4","26000","Michigan","251300","4365800","-1.1","806","3.9"
"2003","4","27000","Minnesota","159000","2591900","-0.5","777","3.2"
"2003","4","28000","Mississippi","65600","1108100","0.4","559","3.7"
"2003","4","29000","Missouri","165400","2633600","-0.7","676","2.4"
"2003","4","30000","Montana","42000","396600","1.1","549","4.0"
"2003","4","31000","Nebraska","55300","884400","0.6","613","3.2"
"2003","4","32000","Nevada","60300","1111200","4.4","721","5.1"
"2003","4","33000","New Hampshire","47000","614900","0.6","788","4.0"
"2003","4","34000","New Jersey","268100","3912800","0.1","945","3.4"
"2003","4","35000","New Mexico","50400","757100","1.4","612","4.1"
"2003","4","36000","New York","550300","8379200","-0.4","959","5.2"
"2003","4","37000","North Carolina","227800","3759600","-0.1","679","4.5"
"2003","4","38000","North Dakota","24000","317600","0.9","563","4.3"
"2003","4","39000","Ohio","294200","5322400","-0.7","713","3.8"
"2003","4","40000","Oklahoma","91600","1423400","-1.3","597","4.2"
"2003","4","41000","Oregon","118800","1579800","0.2","694","3.3"
"2003","4","42000","Pennsylvania","326900","5524500","-0.2","750","4.7"
"2003","4","44000","Rhode Island","34700","480500","1.2","738","5.1"
"2003","4","45000","South Carolina","108400","1781000","0.3","623","3.1"
"2003","4","46000","South Dakota","28100","365400","0.3","559","4.1"
"2003","4","47000","Tennessee","128400","2648000","0.4","689","4.2"
"2003","4","48000","Texas","505300","9300100","-0.3","754","3.1"
"2003","4","49000","Utah","73900","1066200","1.2","630","2.3"
"2003","4","50000","Vermont","24100","300700","0.3","661","5.1"
"2003","4","51000","Virginia","202600","3477500","1.2","786","5.2"
"2003","4","53000","Washington","222700","2654700","1.0","759","1.3"
"2003","4","54000","West Virginia","47200","685200","0.1","587","2.1"
"2003","4","55000","Wisconsin","157600","2715400","0.0","683","4.1"
"2003","4","56000","Wyoming","22000","241600","1.7","616","4.1"
"2003","4","72000","Puerto Rico","50200","1074100","3.5","450","4.7"
"2003","4","78000","Virgin Islands","3200","42500","-0.2","629","2.4"
"2004","1","US000","United States","8367200","127778500","0.8","758","3.8"
"2004","1","01000","Alabama","113000","1835100","0.9","626","2.3"
"2004","1","02000","Alaska","20000","285100","1.0","732","3.5"
"2004","1","04000","Arizona","127400","2340100","2.5","682","4.3"
"2004","1","05000","Arkansas","75700","1128500","1.4","563","3.3"
"2004","1","06000","California","1214000","14873500","1.1","854","4.4"
"2004","1","08000","Colorado","160400","2109000","0.5","772","3.9"
"2004","1","09000","Connecticut","109300","1614600","0.1","1042","6.4"
"2004","1","10000","Delaware","28100","401200","2.2","844","2.4"
"2004","1","11000","District of Columbia","30200","654700","0.8","1221","7.2"
"2004","1","12000","Florida","518900","7478300","2.4","657","4.3"
"2004","1","13000","Georgia","249200","3831500","1.8","728","1.8"
"2004","1","15000","Hawaii","37800","578700","1.7","656","3.1"
"2004","1","16000","Idaho","48300","570200","1.8","552","2.2"
"2004","1","17000","Illinois","326300","5614600","-0.4","823","4.0"
"2004","1","18000","Indiana","153400","2806200","0.6","661","3.0"
"2004","1","19000","Iowa","91300","1391800","0.9","606","3.9"
"2004","1","20000","Kansas","81400","1280500","0.2","621","2.3"
"2004","1","21000","Kentucky","105800","1711900","0.8","623","3.1"
"2004","1","22000","Louisiana","115000","1862100","0.9","602","3.6"
"2004","1","23000","Maine","47800","575900","1.0","605","2.9"
"2004","1","24000","Maryland","151700","2431700","1.3","816","5.3"
"2004","1","25000","Massachusetts","207600","3084800","-0.6","954","6.0"
"2004","1","26000","Michigan","254500","4235300","-0.8","771","1.2"
"2004","1","27000","Minnesota","157300","2526800","-0.2","777","5.0"
"2004","1","28000","Mississippi","65900","1100000","0.9","533","2.1"
"2004","1","29000","Missouri","167400","2601400","0.0","665","2.6"
"2004","1","30000","Montana","42100","392200","2.0","515","4.7"
"2004","1","31000","Nebraska","54800","866900","0.6","595","2.8"
"2004","1","32000","Nevada","62100","1112900","4.7","695","5.0"
"2004","1","33000","New Hampshire","46600","602200","1.7","725","3.7"
"2004","1","34000","New Jersey","265100","3843800","1.1","945","3.3"
"2004","1","35000","New Mexico","50800","749600","1.8","584","3.4"
"2004","1","36000","New York","552900","8186500","0.2","1056","8.0"
"2004","1","37000","North Carolina","228100","3721900","0.7","670","2.9"
"2004","1","38000","North Dakota","24000","312200","1.6","541","4.2"
"2004","1","39000","Ohio","291400","5211600","0.1","691","1.6"
"2004","1","40000","Oklahoma","92600","1413100","0.2","582","3.4"
"2004","1","41000","Oregon","120900","1560100","1.1","675","3.5"
"2004","1","42000","Pennsylvania","333300","5439200","0.4","736","3.2"
"2004","1","44000","Rhode Island","34900","463700","0.6","728","2.1"
"2004","1","45000","South Carolina","108000","1768300","0.3","596","1.9"
"2004","1","46000","South Dakota","28100","358000","1.0","531","3.3"
"2004","1","47000","Tennessee","129300","2622300","1.6","651","3.0"
"2004","1","48000","Texas","506800","9244000","0.6","737","3.9"
"2004","1","49000","Utah","73800","1051700","2.4","599","2.4"
"2004","1","50000","Vermont","24100","294700","1.0","615","2.7"
"2004","1","51000","Virginia","204900","3443900","2.3","772","4.6"
"2004","1","53000","Washington","206500","2633100","1.3","757","2.0"
"2004","1","54000","West Virginia","47600","675900","1.2","569","1.4"
"2004","1","55000","Wisconsin","158800","2647800","0.5","657","3.0"
"2004","1","56000","Wyoming","22100","239300","3.4","583","4.1"
"2004","1","72000","Puerto Rico","50500","1036800","1.5","422","5.0"
"2004","1","78000","Virgin Islands","3100","42800","1.3","576","-1.9"
"2004","2","US000","United States","8363300","130638400","1.2","724","3.1"
"2004","2","01000","Alabama","113700","1858500","1.6","619","2.7"
"2004","2","02000","Alaska","20100","306400","0.2","736","1.8"
"2004","2","04000","Arizona","126400","2302900","3.3","694","3.3"
"2004","2","05000","Arkansas","75800","1138600","1.6","568","3.8"
"2004","2","06000","California","1181300","15145400","0.8","818","3.5"
"2004","2","08000","Colorado","162600","2171600","1.3","744","2.8"
"2004","2","09000","Connecticut","109200","1658100","0.4","906","3.5"
"2004","2","10000","Delaware","28700","417800","2.1","774","3.3"
"2004","2","11000","District of Columbia","29500","665700","1.7","1189","3.6"
"2004","2","12000","Florida","523400","7387600","3.1","656","4.0"
"2004","2","13000","Georgia","251900","3858800","1.9","700","2.5"
"2004","2","15000","Hawaii","36700","585400","2.6","652","2.8"
"2004","2","16000","Idaho","48900","606800","2.9","555","3.2"
"2004","2","17000","Illinois","327300","5777500","0.1","771","2.8"
"2004","2","18000","Indiana","152500","2874200","1.2","646","3.7"
"2004","2","19000","Iowa","91600","1449900","1.4","591","3.3"
"2004","2","20000","Kansas","81900","1312300","1.0","608","2.9"
"2004","2","21000","Kentucky","105900","1744900","0.9","628","3.3"
"2004","2","22000","Louisiana","115900","1884800","0.8","592","2.1"
"2004","2","23000","Maine","48900","613600","1.3","587","3.2"
"2004","2","24000","Maryland","153700","2491600","0.8","787","3.6"
"2004","2","25000","Massachusetts","209600","3192400","-0.4","899","5.9"
"2004","2","26000","Michigan","253900","4365400","-0.6","743","1.6"
"2004","2","27000","Minnesota","156100","2660100","1.1","743","2.8"
"2004","2","28000","Mississippi","66200","1109300","1.2","534","2.5"
"2004","2","29000","Missouri","167400","2668800","0.6","651","1.9"
"2004","2","30000","Montana","42500","418500","3.4","528","1.3"
"2004","2","31000","Nebraska","55100","895900","0.9","579","2.5"
"2004","2","32000","Nevada","62700","1146900","6.5","685","4.1"
"2004","2","33000","New Hampshire","47200","624700","1.5","717","3.5"
"2004","2","34000","New Jersey","265700","3960400","0.8","872","2.5"
"2004","2","35000","New Mexico","50400","770600","2.3","596","2.9"
"2004","2","36000","New York","554900","8383000","0.5","879","3.4"
"2004","2","37000","North Carolina","229500","3791300","1.6","638","2.7"
"2004","2","38000","North Dakota","24200","326500","2.3","539","4.5"
"2004","2","39000","Ohio","286900","5359000","0.3","672","2.8"
"2004","2","40000","Oklahoma","92400","1423200","1.0","578","2.3"
"2004","2","41000","Oregon","121200","1635800","3.1","670","2.9"
"2004","2","42000","Pennsylvania","333200","5576500","0.6","710","3.0"
"2004","2","44000","Rhode Island","34900","486700","0.8","694","3.3"
"2004","2","45000","South Carolina","111800","1811800","1.4","595","3.1"
"2004","2","46000","South Dakota","28400","381700","1.9","525","3.6"
"2004","2","47000","Tennessee","129600","2649500","1.6","647","2.9"
"2004","2","48000","Texas","508600","9344000","1.2","706","2.8"
"2004","2","49000","Utah","75300","1081200","3.3","603","2.6"
"2004","2","50000","Vermont","24200","302000","1.2","634","4.3"
"2004","2","51000","Virginia","205500","3545100","2.7","745","3.6"
"2004","2","53000","Washington","209500","2759800","2.2","750","0.4"
"2004","2","54000","West Virginia","47700","693700","1.1","589","2.8"
"2004","2","55000","Wisconsin","159800","2762900","0.6","644","2.7"
"2004","2","56000","Wyoming","22600","259200","2.6","586","4.1"
"2004","2","72000","Puerto Rico","51700","1041100","1.8","407","2.3"
"2004","2","78000","Virgin Islands","3200","42700","2.2","616","2.7"
"2004","3","US000","United States","8421800","130248900","1.3","733","4.0"
"2004","3","01000","Alabama","114400","1858000","1.8","629","3.6"
"2004","3","02000","Alaska","20300","314200","1.9","755","3.4"
"2004","3","04000","Arizona","126300","2357600","3.6","691","4.9"
"2004","3","05000","Arkansas","76400","1145700","1.4","570","5.2"
"2004","3","06000","California","1204000","15106600","1.5","829","3.9"
"2004","3","08000","Colorado","164800","2163400","1.8","752","1.1"
"2004","3","09000","Connecticut","109500","1642100","0.9","917","5.4"
"2004","3","10000","Delaware","29100","414900","2.0","769","2.1"
"2004","3","11000","District of Columbia","30100","658300","1.2","1207","7.6"
"2004","3","12000","Florida","529100","7397200","2.5","655","4.5"
"2004","3","13000","Georgia","249200","3837800","0.8","711","3.8"
"2004","3","15000","Hawaii","35700","585600","2.9","676","4.5"
"2004","3","16000","Idaho","49600","608100","3.0","569","4.0"
"2004","3","17000","Illinois","328100","5747700","0.2","779","3.9"
"2004","3","18000","Indiana","152600","2887800","1.4","655","4.5"
"2004","3","19000","Iowa","91800","1431800","1.2","604","4.1"
"2004","3","20000","Kansas","82400","1304800","1.2","620","4.6"
"2004","3","21000","Kentucky","106600","1742900","0.8","619","4.4"
"2004","3","22000","Louisiana","116700","1861100","0.1","595","2.8"
"2004","3","23000","Maine","50100","608800","0.7","603","4.3"
"2004","3","24000","Maryland","155000","2479500","1.2","795","4.2"
"2004","3","25000","Massachusetts","211300","3156500","-0.4","907","5.5"
"2004","3","26000","Michigan","254300","4344500","-0.3","757","3.4"
"2004","3","27000","Minnesota","158100","2629900","1.0","753","3.2"
"2004","3","28000","Mississippi","66700","1113800","1.0","540","3.6"
"2004","3","29000","Missouri","167800","2656200","0.9","655","3.0"
"2004","3","30000","Montana","42400","413000","2.6","525","3.6"
"2004","3","31000","Nebraska","55600","887400","1.1","601","3.6"
"2004","3","32000","Nevada","63500","1168500","6.5","703","4.1"
"2004","3","33000","New Hampshire","47600","622600","1.4","731","6.1"
"2004","3","34000","New Jersey","267800","3918800","0.9","876","2.8"
"2004","3","35000","New Mexico","50300","769300","1.9","588","4.1"
"2004","3","36000","New York","556300","8307900","0.9","891","5.3"
"2004","3","37000","North Carolina","229900","3814900","1.9","654","4.1"
"2004","3","38000","North Dakota","24300","327200","2.0","548","4.0"
"2004","3","39000","Ohio","288300","5333000","0.4","685","4.1"
"2004","3","40000","Oklahoma","92600","1435700","1.3","581","3.9"
"2004","3","41000","Oregon","120500","1627600","2.5","676","3.7"
"2004","3","42000","Pennsylvania","330900","5531400","0.7","722","4.3"
"2004","3","44000","Rhode Island","35200","484600","0.6","708","4.6"
"2004","3","45000","South Carolina","112900","1799200","1.4","604","4.1"
"2004","3","46000","South Dakota","28600","375500","2.0","538","4.9"
"2004","3","47000","Tennessee","130200","2668600","1.9","659","4.4"
"2004","3","48000","Texas","511600","9357600","1.4","719","3.6"
"2004","3","49000","Utah","77500","1084400","3.4","607","3.2"
"2004","3","50000","Vermont","24500","302000","1.5","634","5.8"
"2004","3","51000","Virginia","206500","3522700","2.7","757","4.6"
"2004","3","53000","Washington","213000","2749900","1.7","756","0.4"
"2004","3","54000","West Virginia","47800","693100","1.4","559","5.1"
"2004","3","55000","Wisconsin","161200","2745600","1.1","653","4.8"
"2004","3","56000","Wyoming","22600","253600","1.5","590","5.0"
"2004","3","72000","Puerto Rico","52700","1042400","2.2","417","3.0"
"2004","3","78000","Virgin Islands","3200","42700","3.4","599","5.8"
"2004","4","US000","United States","8487600","131560700","1.7","812","5.7"
"2004","4","01000","Alabama","116000","1882000","2.3","695","5.8"
"2004","4","02000","Alaska","20200","288400","2.1","780","4.4"
"2004","4","04000","Arizona","127600","2459000","4.4","752","5.9"
"2004","4","05000","Arkansas","77000","1149100","1.4","623","6.0"
"2004","4","06000","California","1229400","15163800","1.7","928","6.7"
"2004","4","08000","Colorado","164300","2181700","2.2","830","5.9"
"2004","4","09000","Connecticut","109600","1663800","1.0","1056","6.3"
"2004","4","10000","Delaware","29500","418000","2.1","883","7.0"
"2004","4","11000","District of Columbia","30300","659600","0.6","1305","5.5"
"2004","4","12000","Florida","534200","7729700","3.7","736","6.5"
"2004","4","13000","Georgia","253000","3916500","2.1","772","5.0"
"2004","4","15000","Hawaii","35900","603000","3.3","723","6.6"
"2004","4","16000","Idaho","50300","597800","3.6","618","6.6"
"2004","4","17000","Illinois","331300","5773700","0.6","877","6.0"
"2004","4","18000","Indiana","152800","2883900","1.1","706","4.6"
"2004","4","19000","Iowa","91800","1441900","1.6","667","6.5"
"2004","4","20000","Kansas","82800","1317500","1.5","668","5.9"
"2004","4","21000","Kentucky","107900","1761900","1.2","679","5.3"
"2004","4","22000","Louisiana","117100","1890300","0.7","658","4.9"
"2004","4","23000","Maine","51100","600900","0.9","661","4.8"
"2004","4","24000","Maryland","156900","2506000","1.7","879","5.8"
"2004","4","25000","Massachusetts","212900","3169200","0.4","1007","5.6"
"2004","4","26000","Michigan","253700","4348500","-0.3","835","3.3"
"2004","4","27000","Minnesota","159500","2635300","1.6","835","7.5"
"2004","4","28000","Mississippi","66900","1116700","0.8","586","4.8"
"2004","4","29000","Missouri","168800","2670400","1.4","709","4.9"
"2004","4","30000","Montana","41700","409300","3.2","572","4.2"
"2004","4","31000","Nebraska","55800","891800","0.9","648","5.7"
"2004","4","32000","Nevada","64600","1186100","6.7","768","6.5"
"2004","4","33000","New Hampshire","47700","624000","1.4","840","6.5"
"2004","4","34000","New Jersey","269200","3964700","1.1","1001","5.7"
"2004","4","35000","New Mexico","50000","773200","2.2","645","5.0"
"2004","4","36000","New York","556700","8466900","1.0","1016","5.8"
"2004","4","37000","North Carolina","230700","3844900","2.3","714","5.2"
"2004","4","38000","North Dakota","24400","326200","2.7","599","6.4"
"2004","4","39000","Ohio","289000","5350300","0.5","754","5.9"
"2004","4","40000","Oklahoma","93100","1458800","2.2","627","5.0"
"2004","4","41000","Oregon","120800","1623500","2.8","719","3.5"
"2004","4","42000","Pennsylvania","332500","5573200","0.9","796","6.0"
"2004","4","44000","Rhode Island","35400","482600","0.4","765","3.5"
"2004","4","45000","South Carolina","114400","1811000","2.0","655","5.0"
"2004","4","46000","South Dakota","28800","371200","1.6","581","3.9"
"2004","4","47000","Tennessee","130700","2704300","2.3","728","5.5"
"2004","4","48000","Texas","514200","9479900","1.9","800","6.1"
"2004","4","49000","Utah","79500","1100600","3.3","664","5.2"
"2004","4","50000","Vermont","24600","304700","1.1","676","2.3"
"2004","4","51000","Virginia","208100","3568200","2.7","841","6.9"
"2004","4","53000","Washington","215400","2718000","2.5","790","4.1"
"2004","4","54000","West Virginia","48000","695400","1.4","620","5.6"
"2004","4","55000","Wisconsin","158700","2755200","1.4","719","5.4"
"2004","4","56000","Wyoming","22600","247900","2.6","641","4.1"
"2004","4","72000","Puerto Rico","53500","1098000","1.9","468","3.8"
"2004","4","78000","Virgin Islands","3200","43700","1.0","670","6.3"
"2005","1","US000","United States","8543200","129802300","1.7","775","2.2"
"2005","1","01000","Alabama","116000","1871500","2.0","642","2.6"
"2005","1","02000","Alaska","20300","290300","2.0","744","1.5"
"2005","1","04000","Arizona","129300","2459700","5.0","698","2.3"
"2005","1","05000","Arkansas","77500","1144800","1.7","579","2.8"
"2005","1","06000","California","1247900","15064500","1.9","872","2.0"
"2005","1","08000","Colorado","166700","2158600","2.4","787","2.2"
"2005","1","09000","Connecticut","109800","1624700","0.8","1084","3.9"
"2005","1","10000","Delaware","29700","407900","1.2","878","4.0"
"2005","1","11000","District of Columbia","30500","661700","1.1","1277","4.2"
"2005","1","12000","Florida","547000","7731000","3.5","679","3.5"
"2005","1","13000","Georgia","252900","3877000","1.5","742","1.9"
"2005","1","15000","Hawaii","36100","597600","3.1","669","2.0"
"2005","1","16000","Idaho","50900","594200","4.2","561","1.6"
"2005","1","17000","Illinois","333400","5644900","0.5","848","2.9"
"2005","1","18000","Indiana","155300","2838700","1.1","667","0.9"
"2005","1","19000","Iowa","91500","1419500","1.9","616","1.7"
"2005","1","20000","Kansas","82900","1290700","0.9","631","1.4"
"2005","1","21000","Kentucky","107400","1741200","1.8","628","0.6"
"2005","1","22000","Louisiana","118000","1873800","0.6","619","2.8"
"2005","1","23000","Maine","48100","573200","-0.5","614","1.7"
"2005","1","24000","Maryland","159500","2458000","1.1","831","2.0"
"2005","1","25000","Massachusetts","214700","3094800","0.1","964","1.2"
"2005","1","26000","Michigan","255800","4218300","-0.4","780","1.2"
"2005","1","27000","Minnesota","156700","2559700","1.3","783","0.8"
"2005","1","28000","Mississippi","67600","1113100","1.3","545","2.3"
"2005","1","29000","Missouri","170000","2644200","1.8","671","0.9"
"2005","1","30000","Montana","39800","403800","3.2","533","3.5"
"2005","1","31000","Nebraska","55800","879800","1.5","600","0.8"
"2005","1","32000","Nevada","66100","1187600","6.7","714","2.6"
"2005","1","33000","New Hampshire","47300","606900","0.8","745","2.8"
"2005","1","34000","New Jersey","269500","3863500","0.8","963","1.8"
"2005","1","35000","New Mexico","50600","765000","2.2","596","2.1"
"2005","1","36000","New York","558200","8242300","0.8","1096","3.7"
"2005","1","37000","North Carolina","233100","3808000","2.3","687","2.7"
"2005","1","38000","North Dakota","24500","320400","2.6","550","1.5"
"2005","1","39000","Ohio","290700","5228600","0.4","706","2.0"
"2005","1","40000","Oklahoma","93900","1453900","2.5","591","1.9"
"2005","1","41000","Oregon","122100","1621600","4.2","685","1.5"
"2005","1","42000","Pennsylvania","338000","5481000","1.0","747","1.5"
"2005","1","44000","Rhode Island","35400","466900","0.5","736","1.2"
"2005","1","45000","South Carolina","116100","1800300","1.5","611","2.5"
"2005","1","46000","South Dakota","28900","365100","2.0","544","2.4"
"2005","1","47000","Tennessee","131700","2665200","1.8","660","1.4"
"2005","1","48000","Texas","517400","9454600","2.2","760","3.1"
"2005","1","49000","Utah","78900","1091900","3.9","607","1.3"
"2005","1","50000","Vermont","24400","297500","0.9","639","3.9"
"2005","1","51000","Virginia","211300","3525700","2.4","794","2.7"
"2005","1","53000","Washington","204200","2702300","2.6","766","2.4"
