"year","quarter","area_fips","ownership","industry_code","area_title","industry_title","quarterly_establishments","month_3_employment","month_3_employment_percent_change_oty","average_weekly_wages","average_weekly_wages_percent_change_oty"
"2003","2","06037","5","1024","Los Angeles, CA","Professional and business services","39600","568100","1.4","896","5.7"
"2003","2","06037","5","1025","Los Angeles, CA","Education and health services","26100","446900","3.6","716","3.6"
"2003","2","06037","5","1026","Los Angeles, CA","Leisure and hospitality","24900","372500","3.4","462","3.1"
"2003","2","06037","5","1027","Los Angeles, CA","Other services","129000","219200","5.1","394","1.5"
"2003","2","06037","8","10","Los Angeles, CA","Government","3900","599400","-2.1","905","3.5"
"2003","2","17031","0","10","Cook, IL","Total, All Industries","125800","2543000","-1.6","836","1.2"
"2003","2","17031","5","10","Cook, IL","Private industry","124700","2213000","-1.9","826","1.3"
"2003","2","17031","5","1011","Cook, IL","Natural resources and mining","100","1600","0.4","880","1.7"
"2003","2","17031","5","1012","Cook, IL","Construction","10300","99600","-0.8","1027","2.6"
"2003","2","17031","5","1013","Cook, IL","Manufacturing","7900","269100","-6.0","858","2.6"
"2003","2","17031","5","1021","Cook, IL","Trade, transportation, and utilities","26600","480700","-1.6","693","0.6"
"2003","2","17031","5","1022","Cook, IL","Information","2500","66600","-6.9","1094","1.1"
"2003","2","17031","5","1023","Cook, IL","Financial activities","13600","220200","-0.3","1283","0.9"
"2003","2","17031","5","1024","Cook, IL","Professional and business services","25900","404500","-3.7","1034","1.5"
"2003","2","17031","5","1025","Cook, IL","Education and health services","12100","343600","0.0","709","3.8"
"2003","2","17031","5","1026","Cook, IL","Leisure and hospitality","10400","225400","2.8","357","1.7"
"2003","2","17031","5","1027","Cook, IL","Other services","12700","97200","-1.7","605","2.7"
"2003","2","17031","8","10","Cook, IL","Government","1100","330000","-0.2","902","-0.3"
"2003","2","36061","0","10","New York, NY","Total, All Industries","111800","2214100","-2.4","1250","0.6"
"2003","2","36061","5","10","New York, NY","Private industry","111600","1762300","-2.2","1343","0.1"
"2003","2","36061","5","1011","New York, NY","Natural resources and mining","0","100","12.7","1052","-7.1"
"2003","2","36061","5","1012","New York, NY","Construction","2200","31300","-3.4","1270","0.8"
"2003","2","36061","5","1013","New York, NY","Manufacturing","3600","47700","-10.5","985","10.5"
"2003","2","36061","5","1021","New York, NY","Trade, transportation, and utilities","22500","235200","-0.3","967","1.0"
"2003","2","36061","5","1022","New York, NY","Information","4500","130200","-8.3","1576","3.5"
"2003","2","36061","5","1023","New York, NY","Financial activities","17000","352400","-3.3","2284","-2.8"
"2003","2","36061","5","1024","New York, NY","Professional and business services","22800","426700","-3.8","1510","3.2"
"2003","2","36061","5","1025","New York, NY","Education and health services","7800","267300","1.5","821","2.8"
"2003","2","36061","5","1026","New York, NY","Leisure and hospitality","10100","180000","0.6","623","1.3"
"2003","2","36061","5","1027","New York, NY","Other services","16000","82000","0.6","742","3.1"
"2003","2","36061","8","10","New York, NY","Government","200","451800","-2.9","889","4.2"
"2003","2","48201","0","10","Harris, TX","Total, All Industries","87700","1837200","-1.1","818","2.0"
"2003","2","48201","5","10","Harris, TX","Private industry","87300","1596600","-1.8","830","1.7"
"2003","2","48201","5","1011","Harris, TX","Natural resources and mining","1200","60800","4.4","1870","2.4"
"2003","2","48201","5","1012","Harris, TX","Construction","6300","142800","-2.2","789","-0.6"
"2003","2","48201","5","1013","Harris, TX","Manufacturing","4700","167900","-5.5","1051","3.2"
"2003","2","48201","5","1021","Harris, TX","Trade, transportation, and utilities","20900","390500","-3.7","779","3.7"
"2003","2","48201","5","1022","Harris, TX","Information","1400","34500","-4.6","1025","0.6"
"2003","2","48201","5","1023","Harris, TX","Financial activities","9200","112000","0.3","1016","1.3"
"2003","2","48201","5","1024","Harris, TX","Professional and business services","16700","278800","-3.0","904","1.1"
"2003","2","48201","5","1025","Harris, TX","Education and health services","8600","185800","1.7","721","1.7"
"2003","2","48201","5","1026","Harris, TX","Leisure and hospitality","6400","161500","2.3","315","-2.2"
"2003","2","48201","5","1027","Harris, TX","Other services","10300","58200","-3.4","502","1.8"
"2003","2","48201","8","10","Harris, TX","Government","400","240600","3.6","738","4.2"
"2003","2","04013","0","10","Maricopa, AZ","Total, All Industries","79400","1547000","0.7","710","2.9"
"2003","2","04013","5","10","Maricopa, AZ","Private industry","78900","1354900","0.2","694","3.0"
"2003","2","04013","5","1011","Maricopa, AZ","Natural resources and mining","500","10400","-1.4","456","0.9"
"2003","2","04013","5","1012","Maricopa, AZ","Construction","8400","127500","1.6","712","3.5"
"2003","2","04013","5","1013","Maricopa, AZ","Manufacturing","3300","126000","-7.3","972","4.4"
"2003","2","04013","5","1021","Maricopa, AZ","Trade, transportation, and utilities","18700","315700","-0.4","684","2.2"
"2003","2","04013","5","1022","Maricopa, AZ","Information","1600","37500","-2.6","858","3.0"
"2003","2","04013","5","1023","Maricopa, AZ","Financial activities","9300","131300","2.5","882","6.4"
"2003","2","04013","5","1024","Maricopa, AZ","Professional and business services","17800","253700","1.0","683","2.4"
"2003","2","04013","5","1025","Maricopa, AZ","Education and health services","7400","154500","5.2","729","3.0"
"2003","2","04013","5","1026","Maricopa, AZ","Leisure and hospitality","5500","151800","0.8","334","0.9"
"2003","2","04013","5","1027","Maricopa, AZ","Other services","5600","44900","-2.9","481","2.6"
"2003","2","04013","8","10","Maricopa, AZ","Government","500","192200","4.0","816","3.2"
"2003","2","48113","0","10","Dallas, TX","Total, All Industries","67300","1442700","-2.4","853","0.8"
"2003","2","48113","5","10","Dallas, TX","Private industry","66900","1285900","-3.1","862","0.8"
"2003","2","48113","5","1011","Dallas, TX","Natural resources and mining","500","6400","[ND]","2421","[ND]"
"2003","2","48113","5","1012","Dallas, TX","Construction","4500","75400","-5.4","808","4.0"
"2003","2","48113","5","1013","Dallas, TX","Manufacturing","3400","146500","-6.6","988","-3.2"
"2003","2","48113","5","1021","Dallas, TX","Trade, transportation, and utilities","15600","319600","-3.6","835","2.0"
"2003","2","48113","5","1022","Dallas, TX","Information","1800","64900","-9.4","1156","-2.0"
"2003","2","48113","5","1023","Dallas, TX","Financial activities","8400","139100","0.5","1087","2.9"
"2003","2","48113","5","1024","Dallas, TX","Professional and business services","13800","232200","-3.5","954","2.0"
"2003","2","48113","5","1025","Dallas, TX","Education and health services","6100","129800","3.5","767","1.9"
"2003","2","48113","5","1026","Dallas, TX","Leisure and hospitality","5000","127200","-1.6","383","1.1"
"2003","2","48113","5","1027","Dallas, TX","Other services","6700","42400","-3.1","535","0.9"
"2003","2","48113","8","10","Dallas, TX","Government","400","156800","4.2","780","1.8"
"2003","2","06059","0","10","Orange, CA","Total, All Industries","87100","1433500","0.9","800","3.5"
"2003","2","06059","5","10","Orange, CA","Private industry","85700","1283400","1.6","789","3.3"
"2003","2","06059","5","1011","Orange, CA","Natural resources and mining","200","8300","-8.3","494","1.6"
"2003","2","06059","5","1012","Orange, CA","Construction","6400","84400","6.4","851","2.3"
"2003","2","06059","5","1013","Orange, CA","Manufacturing","6100","183300","-6.1","919","5.3"
"2003","2","06059","5","1021","Orange, CA","Trade, transportation, and utilities","17300","265500","0.3","751","0.0"
"2003","2","06059","5","1022","Orange, CA","Information","1500","34300","-7.5","1092","3.1"
"2003","2","06059","5","1023","Orange, CA","Financial activities","9500","123700","11.7","1228","10.8"
"2003","2","06059","5","1024","Orange, CA","Professional and business services","17200","253200","3.0","829","-0.1"
"2003","2","06059","5","1025","Orange, CA","Education and health services","8900","123900","6.5","728","-0.3"
"2003","2","06059","5","1026","Orange, CA","Leisure and hospitality","6600","160400","0.0","352","5.7"
"2003","2","06059","5","1027","Orange, CA","Other services","11800","46000","3.8","480","0.8"
"2003","2","06059","8","10","Orange, CA","Government","1400","150100","-4.5","891","6.2"
"2003","2","06073","0","10","San Diego, CA","Total, All Industries","83100","1263100","0.4","757","1.9"
"2003","2","06073","5","10","San Diego, CA","Private industry","81800","1040500","0.4","737","1.2"
"2003","2","06073","5","1011","San Diego, CA","Natural resources and mining","900","12000","-1.6","469","1.1"
"2003","2","06073","5","1012","San Diego, CA","Construction","6300","80000","1.5","785","1.6"
"2003","2","06073","5","1013","San Diego, CA","Manufacturing","3600","107200","-6.9","1007","5.2"
"2003","2","06073","5","1021","San Diego, CA","Trade, transportation, and utilities","14100","206200","0.9","635","1.4"
"2003","2","06073","5","1022","San Diego, CA","Information","1400","37000","-2.6","1328","-6.3"
"2003","2","06073","5","1023","San Diego, CA","Financial activities","8700","81000","6.2","1002","5.5"
"2003","2","06073","5","1024","San Diego, CA","Professional and business services","14600","201200","-0.6","883","-0.5"
"2003","2","06073","5","1025","San Diego, CA","Education and health services","7500","120700","2.3","677","4.0"
"2003","2","06073","5","1026","San Diego, CA","Leisure and hospitality","6400","142100","1.3","330","3.8"
"2003","2","06073","5","1027","San Diego, CA","Other services","18100","52900","5.4","426","1.7"
"2003","2","06073","8","10","San Diego, CA","Government","1400","222600","0.0","849","4.9"
"2003","2","53033","0","10","King, WA","Total, All Industries","86300","1090700","-1.5","950","4.2"
"2003","2","53033","5","10","King, WA","Private industry","85700","936500","-1.8","966","4.4"
"2003","2","53033","5","1011","King, WA","Natural resources and mining","500","3100","-12.9","1187","14.0"
"2003","2","53033","5","1012","King, WA","Construction","6900","54500","-2.3","866","-0.6"
"2003","2","53033","5","1013","King, WA","Manufacturing","2800","104400","-10.7","1097","2.6"
"2003","2","53033","5","1021","King, WA","Trade, transportation, and utilities","15900","216000","-1.7","759","0.3"
"2003","2","53033","5","1022","King, WA","Information","1700","67300","-2.2","2794","12.3"
"2003","2","53033","5","1023","King, WA","Financial activities","6300","76600","2.3","1082","8.6"
"2003","2","53033","5","1024","King, WA","Professional and business services","12800","155100","-1.6","1076","6.1"
"2003","2","53033","5","1025","King, WA","Education and health services","6100","107900","1.2","700","3.1"
"2003","2","53033","5","1026","King, WA","Leisure and hospitality","5600","101900","0.6","374","0.5"
"2003","2","53033","5","1027","King, WA","Other services","27100","49700","2.4","435","-2.2"
"2003","2","53033","8","10","King, WA","Government","600","154100","0.7","855","3.0"
"2003","2","12086","0","10","Miami-Dade, FL","Total, All Industries","78900","966500","-1.2","689","3.1"
"2003","2","12086","5","10","Miami-Dade, FL","Private industry","78600","814300","-1.6","659","2.6"
"2003","2","12086","5","1011","Miami-Dade, FL","Natural resources and mining","500","8800","4.3","381","-7.5"
"2003","2","12086","5","1012","Miami-Dade, FL","Construction","4800","40100","0.8","704","-1.3"
"2003","2","12086","5","1013","Miami-Dade, FL","Manufacturing","2800","51400","-7.9","622","3.3"
"2003","2","12086","5","1021","Miami-Dade, FL","Trade, transportation, and utilities","23200","239300","-2.2","630","1.4"
"2003","2","12086","5","1022","Miami-Dade, FL","Information","1700","27400","-9.2","946","3.6"
"2003","2","12086","5","1023","Miami-Dade, FL","Financial activities","8100","64800","1.9","933","1.5"
"2003","2","12086","5","1024","Miami-Dade, FL","Professional and business services","15500","130800","-5.8","782","5.7"
"2003","2","12086","5","1025","Miami-Dade, FL","Education and health services","7700","123000","2.4","681","5.1"
"2003","2","12086","5","1026","Miami-Dade, FL","Leisure and hospitality","5200","91100","1.4","377","3.3"
"2003","2","12086","5","1027","Miami-Dade, FL","Other services","7400","34900","-1.4","424","2.4"
"2003","2","12086","8","10","Miami-Dade, FL","Government","300","152100","1.0","851","4.8"
"2003","3","US000","0","10","United States","Total, All Industries","8291000","128546300","-0.4","704","3.1"
"2003","3","US000","5","10","United States","Private industry","8025100","107849800","-0.5","696","3.1"
"2003","3","US000","5","1011","United States","Natural resources and mining","124500","1764800","-0.9","607","2.4"
"2003","3","US000","5","1012","United States","Construction","808300","6925200","0.2","744","1.5"
"2003","3","US000","5","1013","United States","Manufacturing","379400","14401200","-5.1","854","3.9"
"2003","3","US000","5","1021","United States","Trade, transportation, and utilities","1860900","25023500","-0.7","623","2.5"
"2003","3","US000","5","1022","United States","Information","146300","3137800","-4.7","1100","6.0"
"2003","3","US000","5","1023","United States","Financial activities","762700","7865600","1.9","999","6.7"
"2003","3","US000","5","1024","United States","Professional and business services","1325500","16008400","-0.4","823","3.0"
"2003","3","US000","5","1025","United States","Education and health services","729300","15777600","2.3","674","3.2"
"2003","3","US000","5","1026","United States","Leisure and hospitality","668900","12436100","1.2","305","2.3"
"2003","3","US000","5","1027","United States","Other services","1070200","4264200","-0.2","462","2.2"
"2003","3","US000","8","10","United States","Government","265900","20696500","0.1","750","3.3"
"2003","3","06037","0","10","Los Angeles, CA","Total, All Industries","349200","4007200","-0.6","792","3.7"
"2003","3","06037","5","10","Los Angeles, CA","Private industry","345300","3445600","-0.5","773","3.3"
"2003","3","06037","5","1011","Los Angeles, CA","Natural resources and mining","600","12200","1.2","809","10.1"
"2003","3","06037","5","1012","Los Angeles, CA","Construction","12900","135200","-0.1","795","1.4"
"2003","3","06037","5","1013","Los Angeles, CA","Manufacturing","17900","489900","-7.8","810","4.5"
"2003","3","06037","5","1021","Los Angeles, CA","Trade, transportation, and utilities","53900","769800","-0.7","682","2.7"
"2003","3","06037","5","1022","Los Angeles, CA","Information","9200","190600","-5.3","1337","3.1"
"2003","3","06037","5","1023","Los Angeles, CA","Financial activities","22900","235700","1.0","1190","7.0"
"2003","3","06037","5","1024","Los Angeles, CA","Professional and business services","39900","568700","1.0","873","3.3"
"2003","3","06037","5","1025","Los Angeles, CA","Education and health services","26400","449500","2.0","729","2.8"
"2003","3","06037","5","1026","Los Angeles, CA","Leisure and hospitality","25200","373200","3.9","463","5.9"
"2003","3","06037","5","1027","Los Angeles, CA","Other services","136300","220100","4.7","394","2.6"
"2003","3","06037","8","10","Los Angeles, CA","Government","3900","561600","-1.2","915","6.1"
"2003","3","17031","0","10","Cook, IL","Total, All Industries","126000","2529500","-1.2","835","2.7"
"2003","3","17031","5","10","Cook, IL","Private industry","124900","2209100","-1.4","826","2.1"
"2003","3","17031","5","1011","Cook, IL","Natural resources and mining","100","1500","0.7","916","3.4"
"2003","3","17031","5","1012","Cook, IL","Construction","10400","102800","1.3","1032","-0.2"
"2003","3","17031","5","1013","Cook, IL","Manufacturing","7900","266100","-5.9","850","1.9"
"2003","3","17031","5","1021","Cook, IL","Trade, transportation, and utilities","26700","479700","-1.3","695","0.0"
"2003","3","17031","5","1022","Cook, IL","Information","2500","65300","-5.9","1175","5.6"
"2003","3","17031","5","1023","Cook, IL","Financial activities","13700","220100","0.3","1252","5.1"
"2003","3","17031","5","1024","Cook, IL","Professional and business services","25900","404200","-3.1","1010","1.9"
"2003","3","17031","5","1025","Cook, IL","Education and health services","12200","347300","1.1","736","4.4"
"2003","3","17031","5","1026","Cook, IL","Leisure and hospitality","10500","222500","2.7","362","1.7"
"2003","3","17031","5","1027","Cook, IL","Other services","12600","95200","-2.1","615","1.3"
"2003","3","17031","8","10","Cook, IL","Government","1200","320400","-0.2","[ND]","[ND]"
"2003","3","36061","0","10","New York, NY","Total, All Industries","111700","2184900","-1.6","1239","3.2"
"2003","3","36061","5","10","New York, NY","Private industry","111500","1747200","-1.3","1305","2.8"
"2003","3","36061","5","1011","New York, NY","Natural resources and mining","0","100","15.0","971","-11.4"
"2003","3","36061","5","1012","New York, NY","Construction","2200","31500","-2.1","1300","4.6"
"2003","3","36061","5","1013","New York, NY","Manufacturing","3500","47100","-8.9","956","1.9"
"2003","3","36061","5","1021","New York, NY","Trade, transportation, and utilities","22300","234200","0.0","960","2.6"
"2003","3","36061","5","1022","New York, NY","Information","4400","128800","-5.5","1588","5.5"
"2003","3","36061","5","1023","New York, NY","Financial activities","16800","348800","-2.7","2099","2.7"
"2003","3","36061","5","1024","New York, NY","Professional and business services","22700","426300","-1.5","1438","1.8"
"2003","3","36061","5","1025","New York, NY","Education and health services","7800","263800","1.3","897","7.7"
"2003","3","36061","5","1026","New York, NY","Leisure and hospitality","10000","177500","1.0","624","4.9"
"2003","3","36061","5","1027","New York, NY","Other services","15900","80200","0.2","751","4.0"
"2003","3","36061","8","10","New York, NY","Government","200","437700","-2.7","975","4.8"
"2003","3","48201","0","10","Harris, TX","Total, All Industries","88300","1823700","-1.6","824","2.4"
"2003","3","48201","5","10","Harris, TX","Private industry","87900","1584200","-1.9","828","1.8"
"2003","3","48201","5","1011","Harris, TX","Natural resources and mining","1200","61200","[ND]","1811","[ND]"
"2003","3","48201","5","1012","Harris, TX","Construction","6400","140600","-3.5","791","0.5"
"2003","3","48201","5","1013","Harris, TX","Manufacturing","4700","165200","-6.0","1011","3.7"
"2003","3","48201","5","1021","Harris, TX","Trade, transportation, and utilities","20900","389500","-3.1","761","0.8"
"2003","3","48201","5","1022","Harris, TX","Information","1400","34000","-4.3","1022","2.1"
"2003","3","48201","5","1023","Harris, TX","Financial activities","9300","112100","1.5","1038","6.7"
"2003","3","48201","5","1024","Harris, TX","Professional and business services","16900","277300","-3.4","913","2.4"
"2003","3","48201","5","1025","Harris, TX","Education and health services","8700","187100","1.1","758","2.3"
"2003","3","48201","5","1026","Harris, TX","Leisure and hospitality","6500","156600","0.6","318","-1.2"
"2003","3","48201","5","1027","Harris, TX","Other services","10400","56800","-3.7","503","1.0"
"2003","3","48201","8","10","Harris, TX","Government","400","239500","0.9","794","6.1"
"2003","3","04013","0","10","Maricopa, AZ","Total, All Industries","80400","1571300","1.1","699","3.4"
"2003","3","04013","5","10","Maricopa, AZ","Private industry","79900","1357400","1.3","696","3.1"
"2003","3","04013","5","1011","Maricopa, AZ","Natural resources and mining","500","7600","-3.3","499","0.6"
"2003","3","04013","5","1012","Maricopa, AZ","Construction","8400","131100","3.4","692","1.6"
"2003","3","04013","5","1013","Maricopa, AZ","Manufacturing","3300","125200","-6.5","999","4.0"
"2003","3","04013","5","1021","Maricopa, AZ","Trade, transportation, and utilities","18600","316000","0.0","683","2.7"
"2003","3","04013","5","1022","Maricopa, AZ","Information","1600","36300","-3.1","826","-0.6"
"2003","3","04013","5","1023","Maricopa, AZ","Financial activities","9300","132300","3.8","878","7.9"
"2003","3","04013","5","1024","Maricopa, AZ","Professional and business services","17900","254600","2.1","677","3.2"
"2003","3","04013","5","1025","Maricopa, AZ","Education and health services","7500","157600","6.6","742","4.2"
"2003","3","04013","5","1026","Maricopa, AZ","Leisure and hospitality","5600","149400","1.4","341","3.0"
"2003","3","04013","5","1027","Maricopa, AZ","Other services","5700","44200","-2.7","480","1.7"
"2003","3","04013","8","10","Maricopa, AZ","Government","500","213900","0.3","716","4.5"
"2003","3","48113","0","10","Dallas, TX","Total, All Industries","67400","1438900","-2.4","861","2.4"
"2003","3","48113","5","10","Dallas, TX","Private industry","66900","1281600","-2.8","868","2.7"
"2003","3","48113","5","1011","Dallas, TX","Natural resources and mining","500","6500","[ND]","2365","[ND]"
"2003","3","48113","5","1012","Dallas, TX","Construction","4500","76100","-1.8","776","2.2"
"2003","3","48113","5","1013","Dallas, TX","Manufacturing","3500","145200","-6.0","964","2.0"
"2003","3","48113","5","1021","Dallas, TX","Trade, transportation, and utilities","15500","316800","-4.1","851","4.2"
"2003","3","48113","5","1022","Dallas, TX","Information","1800","63800","-6.8","1185","0.9"
"2003","3","48113","5","1023","Dallas, TX","Financial activities","8400","139600","0.8","1099","6.5"
"2003","3","48113","5","1024","Dallas, TX","Professional and business services","13800","232600","-4.3","937","1.4"
"2003","3","48113","5","1025","Dallas, TX","Education and health services","6100","131200","3.2","817","2.8"
"2003","3","48113","5","1026","Dallas, TX","Leisure and hospitality","5000","126700","-0.9","399","3.6"
"2003","3","48113","5","1027","Dallas, TX","Other services","6700","40600","-3.3","553","-2.6"
"2003","3","48113","8","10","Dallas, TX","Government","400","157300","1.5","[ND]","[ND]"
"2003","3","06059","0","10","Orange, CA","Total, All Industries","88100","1426500","1.1","812","5.3"
"2003","3","06059","5","10","Orange, CA","Private industry","86700","1289300","1.9","807","5.2"
"2003","3","06059","5","1011","Orange, CA","Natural resources and mining","300","6000","-20.1","563","15.8"
"2003","3","06059","5","1012","Orange, CA","Construction","6400","85000","2.7","872","4.6"
"2003","3","06059","5","1013","Orange, CA","Manufacturing","6100","180000","-4.9","940","8.2"
"2003","3","06059","5","1021","Orange, CA","Trade, transportation, and utilities","17400","266400","1.1","755","3.3"
"2003","3","06059","5","1022","Orange, CA","Information","1500","34100","-3.6","1089","2.6"
"2003","3","06059","5","1023","Orange, CA","Financial activities","9600","127000","12.3","1354","11.4"
"2003","3","06059","5","1024","Orange, CA","Professional and business services","17400","258700","2.7","821","0.4"
"2003","3","06059","5","1025","Orange, CA","Education and health services","9100","125900","7.6","736","1.1"
"2003","3","06059","5","1026","Orange, CA","Leisure and hospitality","6600","160700","0.4","356","5.3"
"2003","3","06059","5","1027","Orange, CA","Other services","12300","45400","2.2","491","1.9"
"2003","3","06059","8","10","Orange, CA","Government","1400","137200","-5.3","859","7.5"
"2003","3","06073","0","10","San Diego, CA","Total, All Industries","84400","1256700","0.9","761","4.2"
"2003","3","06073","5","10","San Diego, CA","Private industry","83000","1045400","1.6","739","4.2"
"2003","3","06073","5","1011","San Diego, CA","Natural resources and mining","900","11800","-2.7","462","1.1"
"2003","3","06073","5","1012","San Diego, CA","Construction","6400","82100","5.5","778","1.6"
"2003","3","06073","5","1013","San Diego, CA","Manufacturing","3600","105300","-5.9","986","5.3"
"2003","3","06073","5","1021","San Diego, CA","Trade, transportation, and utilities","14200","208200","1.5","639","2.9"
"2003","3","06073","5","1022","San Diego, CA","Information","1400","36800","1.0","1500","29.5"
"2003","3","06073","5","1023","San Diego, CA","Financial activities","8800","81500","6.7","993","6.4"
"2003","3","06073","5","1024","San Diego, CA","Professional and business services","14800","203000","0.4","864","1.5"
"2003","3","06073","5","1025","San Diego, CA","Education and health services","7500","121100","2.8","687","3.5"
"2003","3","06073","5","1026","San Diego, CA","Leisure and hospitality","6500","143000","2.9","348","3.9"
"2003","3","06073","5","1027","San Diego, CA","Other services","18900","52300","5.4","431","0.2"
"2003","3","06073","8","10","San Diego, CA","Government","1400","211300","-2.4","870","4.1"
"2003","3","53033","0","10","King, WA","Total, All Industries","88300","1095400","-0.7","962","5.4"
"2003","3","53033","5","10","King, WA","Private industry","87700","943700","-0.8","977","5.5"
"2003","3","53033","5","1011","King, WA","Natural resources and mining","500","3500","-5.4","1047","25.2"
"2003","3","53033","5","1012","King, WA","Construction","7100","56900","-1.9","864","-0.3"
"2003","3","53033","5","1013","King, WA","Manufacturing","2800","103700","-8.3","1115","-4.4"
"2003","3","53033","5","1021","King, WA","Trade, transportation, and utilities","16100","217100","-0.9","780","4.3"
"2003","3","53033","5","1022","King, WA","Information","1700","68600","0.0","2979","16.8"
"2003","3","53033","5","1023","King, WA","Financial activities","6400","77800","3.7","1097","10.4"
"2003","3","53033","5","1024","King, WA","Professional and business services","13000","158500","-0.4","996","5.7"
"2003","3","53033","5","1025","King, WA","Education and health services","6100","107300","1.8","704","4.0"
"2003","3","53033","5","1026","King, WA","Leisure and hospitality","5800","102100","1.7","396","2.1"
"2003","3","53033","5","1027","King, WA","Other services","28200","48300","-0.6","450","1.1"
"2003","3","53033","8","10","King, WA","Government","600","151800","-0.3","869","4.4"
"2003","3","12086","0","10","Miami-Dade, FL","Total, All Industries","79900","965200","0.1","682","[ND]"
"2003","3","12086","5","10","Miami-Dade, FL","Private industry","79600","814600","0.1","670","3.6"
"2003","3","12086","5","1011","Miami-Dade, FL","Natural resources and mining","500","7800","2.2","430","2.6"
"2003","3","12086","5","1012","Miami-Dade, FL","Construction","4900","41500","5.4","694","2.4"
"2003","3","12086","5","1013","Miami-Dade, FL","Manufacturing","2900","51200","-6.3","613","2.9"
"2003","3","12086","5","1021","Miami-Dade, FL","Trade, transportation, and utilities","23500","240100","-2.0","637","2.9"
"2003","3","12086","5","1022","Miami-Dade, FL","Information","1700","27600","-7.5","923","1.7"
"2003","3","12086","5","1023","Miami-Dade, FL","Financial activities","8200","65200","1.4","972","8.6"
"2003","3","12086","5","1024","Miami-Dade, FL","Professional and business services","15900","131600","1.6","776","1.2"
"2003","3","12086","5","1025","Miami-Dade, FL","Education and health services","7900","122900","2.2","716","6.2"
"2003","3","12086","5","1026","Miami-Dade, FL","Leisure and hospitality","5300","89600","2.7","387","5.4"
"2003","3","12086","5","1027","Miami-Dade, FL","Other services","7500","34200","-2.0","428","2.4"
"2003","3","12086","8","10","Miami-Dade, FL","Government","300","150700","0.4","748","[ND]"
"2003","4","US000","0","10","United States","Total, All Industries","8314100","129341500","0.0","767","3.6"
"2003","4","US000","5","10","United States","Private industry","8048700","108215100","0.0","769","3.9"
"2003","4","US000","5","1011","United States","Natural resources and mining","123700","1557800","0.1","703","4.9"
"2003","4","US000","5","1012","United States","Construction","804900","6689500","1.2","837","2.3"
"2003","4","US000","5","1013","United States","Manufacturing","376800","14307800","-4.2","943","6.7"
"2003","4","US000","5","1021","United States","Trade, transportation, and utilities","1853600","25957300","-0.3","665","3.4"
"2003","4","US000","5","1022","United States","Information","145200","3165900","-4.0","1139","3.9"
"2003","4","US000","5","1023","United States","Financial activities","767000","7874700","1.2","1138","5.9"
"2003","4","US000","5","1024","United States","Professional and business services","1329400","16113200","0.6","945","3.8"
"2003","4","US000","5","1025","United States","Education and health services","732200","15974000","2.1","731","3.8"
"2003","4","US000","5","1026","United States","Leisure and hospitality","669900","12042800","1.7","335","3.4"
"2003","4","US000","5","1027","United States","Other services","1080600","4274100","-0.1","494","3.1"
"2003","4","US000","8","10","United States","Government","265300","21126300","-0.2","757","2.4"
"2003","4","06037","0","10","Los Angeles, CA","Total, All Industries","356000","4075300","-0.5","903","4.2"
"2003","4","06037","5","10","Los Angeles, CA","Private industry","352200","3486300","-0.2","898","4.2"
"2003","4","06037","5","1011","Los Angeles, CA","Natural resources and mining","600","11000","0.7","955","16.9"
